table_id,geography,category,item,sex,age_group,metric_type,value,source_file
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),No lifetime mental disorder,Males,,estimate,1854.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),No lifetime mental disorder,Females,,estimate,1869.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),No lifetime mental disorder,Persons,,estimate,3724,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total,Males,,estimate,3093.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total,Females,,estimate,3172,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total,Persons,,estimate,6265,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Males,,rse,8.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Females,,rse,5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Persons,,rse,4.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Males,,rse,8.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Females,,rse,8.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Persons,,rse,6.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Males,,rse,5.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Females,,rse,4.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Persons,,rse,3.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Males,,rse,1.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Females,,rse,2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Persons,,rse,1.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Males,,rse,9.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Females,,rse,9.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Persons,,rse,7.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Males,,rse,11.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Females,,rse,9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Persons,,rse,7.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Males,,rse,8.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Females,,rse,6.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Persons,,rse,5.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Males,,rse,1.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Females,,rse,1.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Persons,,rse,1.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with 12-month symptoms,Males,,rse,12.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with 12-month symptoms,Females,,rse,20.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with 12-month symptoms,Persons,,rse,11.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with no 12-month symptoms,Males,,rse,5.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with no 12-month symptoms,Females,,rse,10.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with no 12-month symptoms,Persons,,rse,4.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Total lifetime Substance Use disorder,Males,,rse,4.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Total lifetime Substance Use disorder,Females,,rse,8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Total lifetime Substance Use disorder,Persons,,rse,4.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Males,,rse,1.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Females,,rse,1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Persons,,rse,0.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Males,,rse,6.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Females,,rse,4.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Persons,,rse,4.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Males,,rse,5.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Females,,rse,6.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Persons,,rse,4,New South Wales - Lifetime and 12-month disorders.xlsx
