indicator,sub_indicator,sex,phn_code,phn_name,age_band,metric_name,unit,value
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,,In scope population(a),(%),100
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,16-24 years,Persons with disorder,(no.),4485
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,16-24 years,Relative root mean square error(b),(%),8
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,16-24 years,Proportion,(%),13.2
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,16-24 years,95% Confidence Interval of proportion,Lower (%),11.1
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,16-24 years,Population,(no.),34096
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,25-34 years,Persons with disorder,(no.),3828
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,25-34 years,Relative root mean square error(b),(%),7.5
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,25-34 years,Proportion,(%),10.1
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,25-34 years,95% Confidence Interval of proportion,Lower (%),8.6
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,25-34 years,Population,(no.),38075
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,35-44 years,Persons with disorder,(no.),2217
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,35-44 years,Relative root mean square error(b),(%),10.7
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,35-44 years,Proportion,(%),6
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,35-44 years,95% Confidence Interval of proportion,Lower (%),4.7
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,35-44 years,Population,(no.),37154
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,45-54 years,Persons with disorder,(no.),2535
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,45-54 years,Relative root mean square error(b),(%),9.1
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,45-54 years,Proportion,(%),6.5
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,45-54 years,95% Confidence Interval of proportion,Lower (%),5.3
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,45-54 years,Population,(no.),39267
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,55-64 years,Persons with disorder,(no.),2434
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,55-64 years,Relative root mean square error(b),(%),9.1
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,55-64 years,Proportion,(%),5.8
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,55-64 years,95% Confidence Interval of proportion,Lower (%),4.8
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,55-64 years,Population,(no.),42087
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,65-74 years,Persons with disorder,(no.),1092
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,65-74 years,Relative root mean square error(b),(%),12.8
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,65-74 years,Proportion,(%),2.9
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,65-74 years,95% Confidence Interval of proportion,Lower (%),2.2
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,65-74 years,Population,(no.),37286
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,75-85 years,Persons with disorder,(no.),208
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,75-85 years,Relative root mean square error(b),(%),23.5
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,75-85 years,Proportion,(%),0.9
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,75-85 years,95% Confidence Interval of proportion,Lower (%),0.5
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,75-85 years,Population,(no.),22269
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,Total 16-85 years,Persons with disorder,(no.),16800
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,Total 16-85 years,Relative root mean square error(b),(%),5.1
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,Total 16-85 years,Proportion,(%),6.7
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),6
12-month Affective disorders - modelled,,Males,106,South Eastern NSW,Total 16-85 years,Population,(no.),250234
12-month Affective disorders - modelled,,Males,107,Western NSW,,In scope population(a),(%),97.4
12-month Affective disorders - modelled,,Males,107,Western NSW,16-24 years,Persons with disorder,(no.),1935
12-month Affective disorders - modelled,,Males,107,Western NSW,16-24 years,Relative root mean square error(b),(%),9.3
12-month Affective disorders - modelled,,Males,107,Western NSW,16-24 years,Proportion,(%),12.2
12-month Affective disorders - modelled,,Males,107,Western NSW,16-24 years,95% Confidence Interval of proportion,Lower (%),10
12-month Affective disorders - modelled,,Males,107,Western NSW,16-24 years,Population,(no.),15884
12-month Affective disorders - modelled,,Males,107,Western NSW,25-34 years,Persons with disorder,(no.),1631
12-month Affective disorders - modelled,,Males,107,Western NSW,25-34 years,Relative root mean square error(b),(%),9.1
12-month Affective disorders - modelled,,Males,107,Western NSW,25-34 years,Proportion,(%),8.9
12-month Affective disorders - modelled,,Males,107,Western NSW,25-34 years,95% Confidence Interval of proportion,Lower (%),7.3
12-month Affective disorders - modelled,,Males,107,Western NSW,25-34 years,Population,(no.),18400
12-month Affective disorders - modelled,,Males,107,Western NSW,35-44 years,Persons with disorder,(no.),956
12-month Affective disorders - modelled,,Males,107,Western NSW,35-44 years,Relative root mean square error(b),(%),12.1
12-month Affective disorders - modelled,,Males,107,Western NSW,35-44 years,Proportion,(%),5.5
12-month Affective disorders - modelled,,Males,107,Western NSW,35-44 years,95% Confidence Interval of proportion,Lower (%),4.2
12-month Affective disorders - modelled,,Males,107,Western NSW,35-44 years,Population,(no.),17245
12-month Affective disorders - modelled,,Males,107,Western NSW,45-54 years,Persons with disorder,(no.),1095
12-month Affective disorders - modelled,,Males,107,Western NSW,45-54 years,Relative root mean square error(b),(%),10.6
12-month Affective disorders - modelled,,Males,107,Western NSW,45-54 years,Proportion,(%),6.1
12-month Affective disorders - modelled,,Males,107,Western NSW,45-54 years,95% Confidence Interval of proportion,Lower (%),4.8
12-month Affective disorders - modelled,,Males,107,Western NSW,45-54 years,Population,(no.),17993
12-month Affective disorders - modelled,,Males,107,Western NSW,55-64 years,Persons with disorder,(no.),1044
12-month Affective disorders - modelled,,Males,107,Western NSW,55-64 years,Relative root mean square error(b),(%),10.6
12-month Affective disorders - modelled,,Males,107,Western NSW,55-64 years,Proportion,(%),5.3
12-month Affective disorders - modelled,,Males,107,Western NSW,55-64 years,95% Confidence Interval of proportion,Lower (%),4.2
12-month Affective disorders - modelled,,Males,107,Western NSW,55-64 years,Population,(no.),19743
12-month Affective disorders - modelled,,Males,107,Western NSW,65-74 years,Persons with disorder,(no.),430
